title	summary	website
Glycoproteomics reveals the presence of decorin peptides with anti-myostatin activity in human atrial fibrillation	We analysed by proteomics the cardiac extraceelular matrix in human atrial fibrillation and disvovered the presence of extracellular matrix protein fragments that can regulate cardiac cell physiology	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD004465
Sex estimation of human remains using the results of tooth enamel peptidomic analyses, LC-MSMS	Sex of individuals, estimated on human remains, is important information in anthropological, archaeological and forensic researches. In forensic anthropology, this is one of the key points for identifying a person. In archeology and paleoanthropology, information about sex is important for reconstructing the social and biological structure of a group, lifestyle, and for modeling demographic and growth processes in the past. Sex estimation of adult individuals is possible according to morphological criteria when metric and descriptive features are used. In case of poor preservation of the adult skeletons, as well as on children's remains, sex estimation by morphological criteria has some limitations. Therefore regular attempts are made to attract alternative methods for sexing human remains. As one of such methods a liquid chromatography-mass spectrometry analysis of tooth enamel peptides can be used. The result of this analysis is the identification of certain fragments of amelogenins - the main structural proteins of the organic matrix of tooth enamel, which make up more than 90% of its protein content. Amelogenin genes are located on both the X- and Y-chromosomes and the products of these genes have structural differences that allow them to be differentiated from each other. In the process of maturation of tooth enamel, its protein matrix undergoes proteolytic degradation, as a result enamel already contains proteins in the form of their peptide fragments. Reliable and reproducible detection of unique peptide fragments of amelogenins encoded on the X- and Y-chromosomes in human enamel will make it possible to estimate sex of human remains. The work presents a peptidomic analysis of tooth enamel using chromatography-mass spectrometry. Experiments were carried out on a series of teeth of various archaeological data, tafonomic condition of crown and different biological generations of teeth (deciduous and permanent ones).	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD017965
CPTAC System Suitability (CompRef) Study: Proteome, PNNL	The objective of the "System Suitability (CompRef) Study" was to validate mass spectrometry protocols used at each Proteome Characterization Center (PCC).  Please include this attribution in publications, "Data used in this publication was created by the Clinical Proteomics Tumor Analysis Consortium (NCI/NIH)."	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD000966
CPTAC proteomic analysis of TCGA colon and rectal carcinomas using standard and customized databases, part 4	The goal of the CPTAC, TCGA Cancer Proteome Study of Colorectal Tissue is to analyze the proteomes of TCGA tumor samples that have been comprehensively characterized by molecular methods. Ninety-five TCGA tumor samples were used in this study.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD002044
Large scale proteomics of cholesteatoma	The study describes comprehensive proteomics data of the cholesteatoma disease. Cholesteatoma is a serious and destructive growth of keratinizing squamous epithelium in the middle ear, with a poorly understood etiopathogenesis. The large scale proteomics approach used in this study highly expands our molecular knowledge of cholesteatoma and implicates several biological functions in its pathology. Human samples of cholesteatoma, neck of cholesteatoma, tympanic membrane, external auditory canal skin, and middle ear mucosa were analyzed. Approximately two thousand unique proteins were identified by label-free nanoLC-MS/MS proteomics.        The protein and peptide identification data were obtained by Proteome Discoverer (Thermo Scientific, version 1.3.0.339) processing of LTQ Orbitrap raw files using the Mascot algorithm (Matrix Sciences, version 2.4.0). To yield comprehensive proteome data the tissue biopsy was separated into ten protein fractions, which were MS analysed separately, and the resulting MS files were subsequently merged in the database analysis. Precursor mass tolerance was 5 ppm and fragment mass tolerance was 0.5 Da. Dynamic Modification was Oxidation (M) and Static Modification was Carbamidomethyl (C); annotated in the PRIDE files as mass deviations (e g for double charged peptides m/z deviation of approximately 8.00 and 28.51 for modification of Met and Cys, respectively). FASTA file was SwissProt_2012_03.fasta (containing 20,255 Homo sapiens sequences). MudPit scoring was applied, and up to two missed trypsin cleavages were accepted. Peptide cut off Score was 10 and protein relevance threshold was 20.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD000457
The E. coli effector EspJ blocks Src kinase activity via amidation and ADP-ribosylation	In vitro ADP-ribosylated Src-K295M was separated by SDS-PAGE and the Coomassie stained protein band excised and digested with either trypsin, thermolysin or elastase. All digests were analysed by nanoLC-MS/MS using Higher-energy C-trap Dissociation (HCD) as well as Electron-Transfer Dissociation (ETD) fragmentation.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD001461
Affinity Purification experiments for 24 human Bromodomain proteins involved in DNA repair and genome integrity (part 1 of 2).	Bromodomain proteins (BRD) are key chromatin regulators of genome function and stability, as well as therapeutic targets in cancer. In our associated publication (doi:10.1101/gad.331231.119) we systematically delineate the contribution of human BRD proteins for genome stability and DNA double-strand break (DSB) repair using cell-based assays and proteomic interaction network analysis. These AP-MS experiments were performed in order to construct a protein interaction network for the 24 BRDs we identified as promoters of DNA repair and/or genome integrity: BAZ1B, BRD1, BRD2, BRD3, BRD4, BRD8, BRD9, BRPF3, BRWD3, CECR2, EP300, GCN5/KAT2A, PCAF/KAT2B, PHIP, SMARCA2, SP100, SP110, SP140, TAF1, TRIM24, TRIM28, TRIM33, TRIM66, ZMYND8. In combination with cell based assays, we identified a BRD-reader function of PCAF that bound TIP60-mediated histone acetylations at DSBs to recruit a DUB complex to deubiquitylate histone H2BK120, to allow direct acetylation by PCAF and repair of DSBs by homologous recombination. We also discovered the bromo-and-extra-terminal (BET) BRD proteins, BRD2 and BRD4, as negative regulators of transcription-associated RNA-DNA hybrid (R-Loop) as inhibition of BRD2 or BRD4 increased R-loop formation, which generated DSBs. These breaks were reliant on Topoisomerase II and BRD2 directly bound and activated Topoisomerase I, a known restrainer of R-loops. Thus, comprehensive interactome and functional profiling of BRD proteins revealed new homologous recombination and genome stability pathways, providing a strategy to understand genome maintenance by BRD proteins and the effects of their pharmacological inhibition. This accession provides AP-MS experiment files for the following subset of 18 BRDs: BAZ1B, BRD1, BRD2, BRD3, BRD4, BRD8, BRPF3, BRWD3, CECR2, PHIP, SMARCA2, SP100, SP110, TAF1, TRIM24, TRIM33, TRIM66, ZMYND8, as well as their associated controls (Input, Mock, and SBP-tagged NLS).	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD016700
Proteome profiling of ovarian cancer and cirrhosis ascites	Proteome-metabolome profiling of ovarian cancer ascites reveals novel components involved in intercellular communication http://www.mcponline.org/content/early/2014/09/30/mcp.M114.041194.full.pdf+html?sid=78e7a955-fa54-4ded-b296-89f1fb6adbec	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD001403
SNW1 is required for sister chromatid cohesion	Although splicing is essential for the expression of most eukaryotic genes, inactivation of splicing factors causes specific defects in mitosis. The molecular cause of this defect is unknown. Here we show that the spliceosome subunits SNW1 and PRPF8 are essential for sister chromatid cohesion in human cells. A transcriptome-wide analysis revealed that SNW1 or PRPF8 depletion affects the splicing of specific introns in a subset of pre-mRNAs, including pre-mRNAs encoding the cohesion protein sororin and the APC/C subunit APC2. SNW1 depletion causes cohesion defects predominantly by reducing sororin levels, which causes destabilisation of cohesin on DNA. SNW1 depletion also reduces APC/C activity and contributes to cohesion defects indirectly by delaying mitosis and causing ‘cohesion fatigue’. Simultaneous expression of sororin and APC2 from intron-less cDNAs restores cohesion in SNW1 depleted cells. These results indicate that the spliceosome is required for mitosis because it enables expression of genes essential for cohesion. Our transcriptome-wide identification of retained introns in SNW1 and PRPF8 depleted cells may help to understand the aetiology of diseases associated with splicing defects, such as retinosa pigmentosum and cancer.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD001249
An optimised method for CSF extracellular vesicle extraction and comparative proteomic analysis	Extracellular vesicles (EVs) are implicated in the pathogenesis of neurodegenerative diseases and offer a source of biomarkers for diagnostic, stratification and therapeutic monitoring purposes.  A major limitation in the development of specific biomarkers based on cerebrospinal fluid (CSF) EVs is the difficulty of extracting sufficient quantities of vesicles for discovery techniques such as proteomics.  This study describes a novel application of a size-based extraction technique for CSF EVs using ultrafiltration liquid chromatography (UFLC), and comparison with the gold-standard ultracentrifugation (UC) method.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD006353
Mechanism of 17-β Estradiol Stimulated Integration of Human Mesenchymal Stem Cells in Heart Tissue	Scarcity of gender specific donor hearts highlights the importance of mesenchymal stem cells (MSCs) as a therapeutic tool for heart repair. However, inefficient incorporation, retention, and activity of MSCs in cardiac tissue remains an obstacle. Since surge in follicular estradiol (μmolar-range) triggers tissue remodeling (e.g. ovulation) and estradiol exerts beneficial actions on the cardiovascular system, we hypothesized that estradiol may promote/improve MSC-mediated cardiac repair processes. Methods: Wharton’s jelly-derived MSCs were used, to assess the effects of estradiol on their proliferation, directed-migration and engraftment in murine heart slices, ex vivo. Results: MSCs expressed estrogen receptors (ERs) α and β, and estradiol promoted MSC proliferation (measured using xCELLigence real-time cell-impedance system and DNA-quantification). Estradiol up-regulated mRNA (qRT-PCR) and protein expression (western blotting) of ERα, ERβ, EMMPRIN, and MMP-9, yet down-regulated MMP-2 expression. In MSCs estradiol, up-regulated mRNA expression of VEGF-A, VCAM-1, and angiogenin, and stimulated NO production via ER. Proteomic analysis revealed that in MSCs estradiol up-regulated 47 proteins, down-regulated 7 proteins, and increased the expression of key biochemical components/pathways involved in tissue repair. In MSCs co-cultured with murine heart-slices, estradiol significantly induced MSC migration in an ER-dependent fashion (and preferentially via ERα) and significantly increased the secretion of MMP-2, MMP-9, angiogenin and VEGF. Conclusion: Estradiol facilitates the integration/engraftment of MSCs into heart slices by promoting MSC proliferation and migration and these beneficial effects are mediated via increases in molecules/pathways involved in tissue remodeling and angiogenesis. Priming of MSCs with estradiol may enhance their ability to repair/regenerate cardiac tissue in women.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD011742
Human Testis LC-MS/MS -  Multi-Protease Strategy Identifies Three PE2 Missing Proteins in Human Testis Tissue	Missing proteins(MPs) investigation is one of the critical missions of Chromosome-based Human Proteome Project(C-HPP). Through analyzing sequence of MPs from neXtProt database, we found that there are no detectable tryptic peptides for some MPs. Here, we attmept a multi-enzymes strategy to cover this problem. Lys-C, Glu-C and LysargiNase are used to produce more unique and detectable peptides of MPs.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD006465
DSS-induced colitis proteomics after A. caninum ES treatment	Analysis of the effect of A. caninum ES proteins on a DSS-induced mouse model of colitis	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD004369
Single Cell Immuno-laser Microdissection Coupled to Label-free Proteomics to Reveal the Proteotypes of Human Brain Cells After Ischemia	Cerebral ischemia entails rapid tissue damage in the affected brain area causing devastating neurological disorders. The use of biomarkers in stroke might have a major impact in patients’ management, both in the diagnosis and the prognosis. Thus, the analysis of the brain proteome is a straightforward approach for the identification of specific biomarkers and for the detection of potential new therapeutic targets for neuroprotection or recovery strategies.  In this study, post-mortem brain slices from ischemic stroke patients were obtained corresponding to infarcted (IC) and contralateral (CL) areas. By means of laser microdissection, neurons and blood brain barrier structures (BBB) were isolated and analyzed in a label-free manner on a LTQ Orbitrap Velos Pro MS following a gas phase fractionation approach for precursor ion selection. Ninety one proteins were identified only in neurons, 261 proteins only in BBB and 260 proteins in both cell types (peptides≥2). Gene ontology analyses revealed the alteration of metabolic processes after brain ischemia and also changes regarding catalytic activity and binding. Antioxidant activity and enzyme regulator activity appeared as cell-specific altered molecular functions. A total of 25 proteins showing p<0.05 and fold-change>|2| between IC and CL areas were considered significant in this study: 11 in neurons, 11 in BBB and 3 in both cell types. Twelve of these proteins were selected as candidates and analyzed by immunohistochemistry in independent brains. The MS findings were verified for neuronal SAHH2 and SRSF1 and for EAA2 in both cell types. In addition, SAHH2 showed its potential as prognostic biomarker when analyzed early in plasma of ischemic stroke patients.  Therefore, our results will contribute to increase the knowledge about the molecular mechanisms of ischemic stroke pathology and launch new proteins that might represent putative biomarkers of brain ischemia or therapeutic targets.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD003519
Relief Food Subsistence Revealed by Microparticle and Proteomics Analyses of Dental Calculus From Victims of the Great Irish Famine	Food and diet were class markers in nineteenth-century Ireland, which became evident as nearly one million people, primarily the poor and destitute, died as a consequence of the notorious Great Famine of 1845–1852. Famine took hold after a blight (Phytophthora infestans) destroyed the only means of subsistence—the potato crop—for a significant proportion of the population. This study seeks to elucidate the variability of diet in mid-nineteenth-century Ireland through microparticle and proteomic analysis of human dental calculus samples (n = 42) from victims of the Famine. The sample derives from remains of people who died between August 1847 and March 1851 while receiving poor relief as inmates in the union workhouse in the city of Kilkenny (52°39’N, -7°15’W). The results corroborate the historical accounts of food provisions before and during the Famine, with evidence of corn (maize), potato and cereal starch granules from the microparticle analysis and milk proteins from the proteomic analysis. Unexpectedly, there is also evidence of egg proteins—a food source generally reserved only for export and the better-off social classes—which highlights the variability of the Famine experience for those who died. Through historical contextualisation, this study shows how the notoriously monotonous potato diet of the nineteenth-century Irish poor was supplemented by other foodstuffs on an opportunistic basis. While the Great Irish Famine was one of the worst subsistence crises in history, it was foremost a social disaster induced by the lack of access to food and not the lack of food availability.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD015002
Comprehensive Assessment of Proteins Regulated by Dexamethasone Reveals Novel Effects in Primary Human Peripheral Blood Mononuclear Cells - secreted proteins of inflammatory stimulated cells	Inflammation is a physiological process involved in many diseases. Monitoring proteins involved in regulatory effects may help to improve our understanding of inflammation. We have analyzed proteome alterations induced in peripheral blood mononuclear cells (PBMCs) upon inflammatory activation in great detail using high resolution mass spectrometry. Moreover, the activated cells were treated with dexamethasone to investigate their response to this antiphlogistic drug. From a total of 6886 identified proteins, 469 proteins were significantly regulated upon inflammatory activation. Most of these proteins were counter-regulated by dexamethasone, with some exceptions concerning members of the interferon-induced protein family. To confirm some of these results, we performed targeted MRM analyses of selected peptides. The inflammation-induced up-regulation of proteins such as IL-1beta, IL-6, CXCL2 and GROα was confirmed, however with strong quantitative inter-individual differences. Furthermore, the inability of dexamethasone to down-regulate inflammation-induced proteins such as PTX3 and TSG6 was clearly demonstrated. In conclusion, the relation of cell function as well as drug-induced modulation thereof was successfully mapped to proteomes, suggesting targeted analysis as a novel and powerful drug evaluation method. While most consequences of dexamethasone were found compatible with the expected way of action, some unexpected but significant observations may relate with adverse effects.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD001420
Comprehensive Assessment of Proteins Regulated by Dexamethasone Reveals Novel Effects in Primary Human Peripheral Blood Mononuclear Cells - nuclear proteins of inflammatory stimulated cells	Inflammation is a physiological process involved in many diseases. Monitoring proteins involved in regulatory effects may help to improve our understanding of inflammation. We have analyzed proteome alterations induced in peripheral blood mononuclear cells (PBMCs) upon inflammatory activation in great detail using high resolution mass spectrometry. Moreover, the activated cells were treated with dexamethasone to investigate their response to this antiphlogistic drug. From a total of 6886 identified proteins, 469 proteins were significantly regulated upon inflammatory activation. Most of these proteins were counter-regulated by dexamethasone, with some exceptions concerning members of the interferon-induced protein family. To confirm some of these results, we performed targeted MRM analyses of selected peptides. The inflammation-induced up-regulation of proteins such as IL-1beta, IL-6, CXCL2 and GROα was confirmed, however with strong quantitative inter-individual differences. Furthermore, the inability of dexamethasone to down-regulate inflammation-induced proteins such as PTX3 and TSG6 was clearly demonstrated. In conclusion, the relation of cell function as well as drug-induced modulation thereof was successfully mapped to proteomes, suggesting targeted analysis as a novel and powerful drug evaluation method. While most consequences of dexamethasone were found compatible with the expected way of action, some unexpected but significant observations may relate with adverse effects.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD001418
Novel surface functionalized superparamagnetic nanoparticles with engineered cellular uptake as a means for intracellular omics	Superparamagnetic nanoparticles (SPMNPs) are appealing for use in organelle isolation strategies. Yet, this potential remains largely unexplored because thus far research has focused on either physicochemical design or on their application in micron-sized beads. For their use in life sciences, the biocompatibility of SPMNPs goes beyond their chemical composition and shape, and features like their size and more importantly their surface properties are becoming more important to exploit extra- and intracellular interactions. Here we introduce thermal decomposition to manufacture iron oxide based SPMNPs (Ø10nm) and demonstrate how different surface functionalizations can lead to different types of cellular interactions.  Cationic aminolipid-coated SPMNPs reside surprisingly strong at the outer cell surface. In contrast, anionic dimercaptosuccinic acid-coated SPMNPs are efficiently internalized and accumulate in a time-dependent manner in endosomal and lysosomal populations. These features allowed us to establish a standardized magnetic isolation procedure to selectively isolate plasma membranes and intracellular late endosomes/lysosomes with high yields and purities as consolidated by biochemical and ultrastructural analyses. Subsequent quantitative and qualitative proteome analysis underpins the overall high enrichment for hydrophobic (membrane) proteins as well as plasma membrane and lysosomal constituents in the respective purified fractions. This nano based technology provides therefore a breakthrough in the field of subcellular ‘omics’ as it allows the identification of subtle alterations in the biomolecular composition of different SPMNP-isolated compartments that would be otherwise not detected in total cell or tissue analysis.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD001225
Proteome profiling of human myoblastic RCMH cell line	The study aimed to comprehensively characterize human myoblastic cell line RCMH using using electron microscopic and proteomic approaches. Myoblastic cell lines can be useful to investigate the complex biochemical changes occuring under different conditions that reflect the physiological and pathophysiological mechanisms of muscle. So far, there are no suitable in vitro models of human muscle origin to study a variety of muscle related processes including responses to mechanical stress, EC-coupling and (ER-associated) myopathic disorders. Therefore, we characterized the human immortal myoblastic cell line RCMH and the results suggest RCMH as a suitable in vitro model for investigating human muscle related processes and disorders.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD001974
Discovery of new cerebrospinal fluid biomarkers for meningitis in children C4PR_LIV	Bacterial meningitis is usually fatal without treatment and prompt and accurate diagnosis coupled with the timely administration of parenteral antibiotics, are necessary in order to save lives. The diagnosis can sometimes be delayed whilst samples are analysed in a laboratory using traditional methods of microscopy and antigen testing. The objective of our project is to define specific protein signatures in cerebrospinal fluid associated with Streptococcus pneumoniae infection which could lead to the development of assays or point-of-care devices to improve the speed and accuracy of diagnosis, and guide the clinicians in the treatment and prognosis of children with bacterial meningitis. The associated research paper is in preparation.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD000764
